Geneid	LdNA_IDs	blast_annotation
LDECv5g06645	LdNA_17463	Sodium/potassium-transporting ATPase subunit alpha; Drosophila melanogaster 
LDECv5g06646	LdNA_17467	Serine/threonine-protein kinase haspin; Mus musculus 
LDECv5g06648	LdNA_17468	-
LDECv5g06649	LdNA_17469	Eclosion hormone; Manduca sexta 
LDECv5g06650	LdNA_17470	Clathrin light chain; Drosophila melanogaster 
LDECv5g06651	LdNA_17471	Cyclin-dependent kinases regulatory subunit 1; Mus musculus 
LDECv5g06653	LdNA_17472	Helix-loop-helix protein delilah; Drosophila melanogaster 
LDECv5g06654	LdNA_17473	"Leucine--tRNA ligase, cytoplasmic; Homo sapiens "
LDECv5g06655	LdNA_17474	"Peptidyl-tRNA hydrolase 2, mitochondrial; Homo sapiens "
LDECv5g06656	LdNA_17475	-
LDECv5g06657	LdNA_17477	V-type proton ATPase subunit D 1; Drosophila melanogaster 
LDECv5g06658	LdNA_17478	Serine/threonine-protein kinase minibrain; Drosophila melanogaster 
LDECv5g06659	LdNA_17480	Leucine repeat adapter protein 25; Mus musculus 
LDECv5g06660	LdNA_17482	Sortilin-related receptor; Rattus norvegicus 
LDECv5g06661	LdNA_17483	Sortilin-related receptor; Rattus norvegicus 
LDECv5g06662	LdNA_17487	Sortilin-related receptor; Rattus norvegicus 
LDECv5g06663	LdNA_17489	ATP-binding cassette sub-family G member 1; Homo sapiens 
LDECv5g06664	LdNA_17490	Conserved oligomeric Golgi complex subunit 8; Drosophila melanogaster 
LDECv5g06665	LdNA_17491	Proton channel OtopLc; Drosophila melanogaster 
LDECv5g06667	LdNA_17493	Gamma-aminobutyric acid receptor alpha-like; Drosophila melanogaster 
LDECv5g06668	LdNA_17494	Poly [ADP-ribose] polymerase; Sarcophaga peregrina 
LDECv5g06669	LdNA_17495	Arylsulfatase B; Rattus norvegicus 
LDECv5g06670	LdNA_17496	Eukaryotic translation initiation factor 5; Drosophila melanogaster 
LDECv5g06671	LdNA_17498	E3 ubiquitin-protein ligase TRIM33; Mus musculus 
LDECv5g06672	LdNA_17499	S-phase kinase-associated protein 1; Xenopus laevis 
LDECv5g06673	LdNA_17500	Harmonin; Homo sapiens 
LDECv5g06674	LdNA_17503	Retinol dehydrogenase 13; Mus musculus 
LDECv5g06677	LdNA_17514	-
LDECv5g06678	LdNA_17515	-
LDECv5g06679	LdNA_17517	Voltage-dependent calcium channel subunit alpha-2/delta-3; Mus musculus 
LDECv5g06680	LdNA_17518	Elongation of very long chain fatty acids protein AAEL008004; Aedes aegypti 
LDECv5g06681	LdNA_17519	"GTP:AMP phosphotransferase AK3, mitochondrial; Mus musculus "
LDECv5g06682	LdNA_17520	Insulin-like growth factor-binding protein complex acid labile subunit; Mus musculus 
LDECv5g06683	LdNA_17522	Facilitated trehalose transporter Tret1; Culex quinquefasciatus 
LDECv5g06684	LdNA_17523	Facilitated trehalose transporter Tret1; Culex quinquefasciatus 
LDECv5g06685	LdNA_17524	-
LDECv5g06686	LdNA_17525	-
LDECv5g06687	LdNA_17531	-
LDECv5g06688	LdNA_17532	"Dihydroorotate dehydrogenase (quinone), mitochondrial; Rattus norvegicus "
LDECv5g06690	LdNA_17536	Homeodomain-interacting protein kinase 2; Mesocricetus auratus 
LDECv5g06691	LdNA_17547	Suppressor of lurcher protein 1; Caenorhabditis elegans 
LDECv5g06692	LdNA_17548	Septin-2; Drosophila melanogaster 
LDECv5g06693	LdNA_17549	Septin-2; Drosophila melanogaster 
LDECv5g06694	LdNA_17550	Gustatory receptor for sugar taste 64d; Drosophila melanogaster 
LDECv5g06695	LdNA_17551	-
LDECv5g06697	LdNA_17560	Monocarboxylate transporter 10; Danio rerio 
LDECv5g06705	LdNA_17567	-
LDECv5g06706	LdNA_17568	Rac-like GTP-binding protein ARAC8; Arabidopsis thaliana 
LDECv5g06707	LdNA_17569	Insulin; Oncorhynchus keta 
LDECv5g06708	LdNA_17571	LIRP; Locusta migratoria 
LDECv5g06709	LdNA_17572	LIRP; Locusta migratoria 
LDECv5g06710	LdNA_17573	-
LDECv5g06711	LdNA_17574	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase; Drosophila melanogaster "
LDECv5g06712	LdNA_17575	GIGYF family protein Gyf; Drosophila melanogaster 
LDECv5g06714	LdNA_17576	Interferon-inducible double-stranded RNA-dependent protein kinase activator A; Bos taurus 
LDECv5g06715	LdNA_17577	Apoptosis inhibitor 5; Pongo abelii 
LDECv5g06716	LdNA_17580	Homeotic protein caudal; Drosophila melanogaster 
LDECv5g06717	LdNA_17583	Zinc finger protein 330 homolog; Drosophila melanogaster 
LDECv5g06718	LdNA_17584	Protein transport protein Sec24B; Homo sapiens 
LDECv5g06719	LdNA_17585	Protein lethal(2)denticleless; Drosophila melanogaster 
LDECv5g06720	LdNA_17587	"Methyltransferase-like protein 17, mitochondrial; Mus musculus "
LDECv5g06721	LdNA_17588	"Acylglycerol kinase, mitochondrial; Homo sapiens "
LDECv5g06722	LdNA_17589	Probable trehalose-phosphate phosphatase 2; Oryza sativa subsp. japonica 
LDECv5g06723	LdNA_17590	"Peptide deformylase, mitochondrial; Mus musculus "
LDECv5g06724	LdNA_17591	-
LDECv5g06726	LdNA_17592	Phosphoserine phosphatase; Rattus norvegicus 
LDECv5g06727	LdNA_17593	Breast cancer metastasis-suppressor 1-like protein; Homo sapiens 
LDECv5g06728	LdNA_17594	Adenylate cyclase type 9; Homo sapiens 
LDECv5g06729	LdNA_17595	Mitochondrial import receptor subunit TOM70; Rattus norvegicus 
LDECv5g06730	LdNA_17596	Protein C12orf4 homolog; Pongo abelii 
LDECv5g06731	LdNA_17597	"ATP synthase subunit g, mitochondrial; Pongo abelii "
LDECv5g06732	LdNA_17598	Tubulin-specific chaperone C; Bos taurus 
LDECv5g06734	LdNA_17600	Protein yippee-like 5; Pongo abelii 
LDECv5g06735	LdNA_17601	Protein artichoke; Drosophila melanogaster 
LDECv5g06736	LdNA_17602	Galectin-3; Cricetulus longicaudatus 
LDECv5g06737	LdNA_17603	Coiled-coil domain-containing protein 85C; Xenopus tropicalis 
LDECv5g06739	LdNA_17604	Glycogen phosphorylase; Drosophila melanogaster 
LDECv5g06740	LdNA_17605	Zinc finger CCCH domain-containing protein 11A; Mus musculus 
LDECv5g06741	LdNA_17606	Serine/arginine-rich splicing factor 7; Homo sapiens 
LDECv5g06742	LdNA_17607	Polycomb protein Sfmbt; Drosophila pseudoobscura pseudoobscura 
LDECv5g06743	LdNA_17608	Transcription factor AP-4; Homo sapiens 
LDECv5g06744	LdNA_17614	-
LDECv5g06745	LdNA_17615	Large ribosomal subunit protein uL14m; Mus musculus 
LDECv5g06746	LdNA_17616	MFS-type transporter clz9; Cochliobolus lunatus 
LDECv5g06747	LdNA_17623	Visual system homeobox 2; Gallus gallus 
LDECv5g06748	LdNA_17625	-
LDECv5g06749	LdNA_17626	Zinc finger FYVE domain-containing protein 1; Homo sapiens 
LDECv5g06750	LdNA_17627	Interference hedgehog; Drosophila grimshawi 
LDECv5g06751	LdNA_17629	-
LDECv5g06752	LdNA_17630	-
LDECv5g06753	LdNA_17633	-
LDECv5g06754	LdNA_17634	-
LDECv5g06755	LdNA_17635	Histone-lysine N-methyltransferase Suv4-20; Drosophila melanogaster 
LDECv5g06756	LdNA_17636	Terminal uridylyltransferase Tailor; Drosophila melanogaster 
LDECv5g06757	LdNA_17639	Spectrin beta chain; Drosophila melanogaster 
LDECv5g06758	LdNA_17642	-
LDECv5g06759	LdNA_17643	Cilia- and flagella-associated protein 70; Macaca fascicularis 
LDECv5g06760	LdNA_17644	Facilitated trehalose transporter Tret1-2 homolog; Drosophila melanogaster 
LDECv5g06761	LdNA_17647	Probable N-acetyltransferase san; Drosophila melanogaster 
LDECv5g06762	LdNA_17648	Hormone-sensitive lipase; Sus scrofa 
LDECv5g06763	LdNA_17650	S1 RNA-binding domain-containing protein 1; Homo sapiens 
LDECv5g06764	LdNA_17652	Probable cytochrome P450 6a13; Drosophila melanogaster 
LDECv5g06765	LdNA_17653	Chymotrypsin BII; Penaeus vannamei 
LDECv5g06766	LdNA_17654	Zinc finger and BTB domain-containing protein 16; Homo sapiens 
LDECv5g06768	LdNA_17656	UDP-glucosyltransferase 2; Dactylopius coccus 
LDECv5g06769	LdNA_17657	UDP-glucosyltransferase 2; Dactylopius coccus 
LDECv5g06770	LdNA_17659	Juvenile hormone esterase; Tribolium castaneum 
LDECv5g06771	LdNA_17660	Elongation of very long chain fatty acids protein AAEL008004; Aedes aegypti 
LDECv5g06772	LdNA_17663	Leucine-rich repeat-containing protein 56; Homo sapiens 
LDECv5g06773	LdNA_17665	Synaptotagmin-10; Homo sapiens 
LDECv5g06774	LdNA_17668	Glutaredoxin domain-containing cysteine-rich protein CG31559; Drosophila melanogaster 
LDECv5g06775	LdNA_17669	Tubulin polymerization-promoting protein homolog; Drosophila melanogaster 
LDECv5g06776	LdNA_17670	Guanylate cyclase soluble subunit beta-1; Homo sapiens 
LDECv5g06777	LdNA_17671	Head-specific guanylate cyclase; Drosophila melanogaster 
LDECv5g06778	LdNA_17672	RIB43A-like with coiled-coils protein 2; Homo sapiens 
LDECv5g06779	LdNA_17673	Glycine receptor subunit alpha-2; Homo sapiens 
LDECv5g06780	LdNA_17674	Pre-mRNA-splicing factor RBM22; Mus musculus 
LDECv5g06781	LdNA_17675	Zinc finger matrin-type protein CG9776; Drosophila melanogaster 
LDECv5g06782	LdNA_17676	RAC serine/threonine-protein kinase; Drosophila melanogaster 
LDECv5g06783	LdNA_17677	Serine hydrolase-like protein; Danio rerio 
LDECv5g06784	LdNA_17678	Serine hydrolase-like protein 2; Homo sapiens 
LDECv5g06785	LdNA_17680	Tyrosine-protein kinase Btk29A; Drosophila melanogaster 
LDECv5g06786	LdNA_17681	Tyrosine-protein kinase Btk29A; Drosophila melanogaster 
LDECv5g06787	LdNA_17682	-
LDECv5g06788	LdNA_17683	Hydroxysteroid dehydrogenase-like protein 2; Xenopus tropicalis 
LDECv5g06789	LdNA_17684	-
LDECv5g06790	LdNA_17685	Synaptotagmin 1; Drosophila melanogaster 
LDECv5g06791	LdNA_17686	Facilitated trehalose transporter Tret1; Bombyx mori 
LDECv5g06792	LdNA_17687	Facilitated trehalose transporter Tret1; Culex quinquefasciatus 
LDECv5g06794	LdNA_17689	Facilitated trehalose transporter Tret1; Polypedilum vanderplanki 
LDECv5g06795	LdNA_17690	Facilitated trehalose transporter Tret1; Culex quinquefasciatus 
LDECv5g06796	LdNA_17691	Facilitated trehalose transporter Tret1; Culex quinquefasciatus 
LDECv5g06797	LdNA_17692	Facilitated trehalose transporter Tret1; Polypedilum vanderplanki 
LDECv5g06798	LdNA_17694	-
LDECv5g06799	LdNA_17697	Leucine-rich repeat-containing protein 24; Homo sapiens 
LDECv5g06800	LdNA_17699	-
LDECv5g06801	LdNA_17702	Heat shock cognate 71 kDa protein; Pongo abelii 
LDECv5g06802	LdNA_17703	-
LDECv5g06804	LdNA_17705	-
LDECv5g06805	LdNA_17706	-
LDECv5g06806	LdNA_17715	-
LDECv5g06807	LdNA_17716	Dynein axonemal light chain 1; Bos taurus 
LDECv5g06808	LdNA_17717	Polypeptide N-acetylgalactosaminyltransferase 2; Drosophila melanogaster 
LDECv5g06809	LdNA_17719	-
LDECv5g06810	LdNA_17720	Protein fuzzy homolog; Drosophila pseudoobscura pseudoobscura 
LDECv5g06811	LdNA_17721	WD repeat-containing protein 48 homolog; Aedes aegypti 
LDECv5g06812	LdNA_17722	Gem-associated protein 5; Homo sapiens 
LDECv5g06813	LdNA_17723	Putative neutral sphingomyelinase; Drosophila melanogaster 
LDECv5g06814	LdNA_17724	-
LDECv5g06815	LdNA_17726	-
LDECv5g06816	LdNA_17729	-
LDECv5g06817	LdNA_17730	Electron transfer flavoprotein regulatory factor 1; Taeniopygia guttata 
LDECv5g06818	LdNA_17731	TBP-related factor; Drosophila melanogaster 
LDECv5g06819	LdNA_17732	-
LDECv5g06820	LdNA_17733	Centrosomal protein of 135 kDa; Homo sapiens 
LDECv5g06821	LdNA_17734	-
LDECv5g06822	LdNA_17737	Nuclear transcription factor Y subunit alpha; Mus musculus 
LDECv5g06823	LdNA_17738	Homeodomain-interacting protein kinase 2; Homo sapiens 
LDECv5g06824	LdNA_17740	-
LDECv5g06825	LdNA_17743	-
LDECv5g06826	LdNA_17745	-
LDECv5g06827	LdNA_17746	-
LDECv5g06829	LdNA_17748	-
LDECv5g06830	LdNA_17750	-
LDECv5g06831	LdNA_17753	-
LDECv5g06832	LdNA_17754	Vascular endothelial growth factor A; Vipera ammodytes ammodytes 
LDECv5g06833	LdNA_17755	-
LDECv5g06834	LdNA_17756	Cadherin-related tumor suppressor; Drosophila melanogaster 
LDECv5g06835	LdNA_17759	Mediator of RNA polymerase II transcription subunit 7; Anopheles gambiae 
LDECv5g06836	LdNA_17761	NF-kappa-B inhibitor-interacting Ras-like protein; Drosophila melanogaster 
LDECv5g06837	LdNA_17762	-
LDECv5g06838	LdNA_17763	-
LDECv5g06839	LdNA_17764	Protein arginine N-methyltransferase 9; Mus musculus 
LDECv5g06840	LdNA_17765	Serine hydrolase-like protein; Danio rerio 
LDECv5g06841	LdNA_17766	Zinc finger protein 559; Homo sapiens 
LDECv5g06842	LdNA_17767	RNA-directed RNA polymerase; Cryptosporidium parvum virus 1 (strain KSU-1) 
LDECv5g06843	LdNA_17768	5'-AMP-activated protein kinase subunit beta-1; Bos taurus 
LDECv5g06845	LdNA_17771	-
LDECv5g06846	LdNA_17772	-
LDECv5g06847	LdNA_17773	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase; Bos taurus 
LDECv5g06848	LdNA_17774	"Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase; Mus musculus "
LDECv5g06849	LdNA_17776	LIRP; Locusta migratoria 
LDECv5g06850	LdNA_17777	Tetraspanin-7; Mus musculus 
LDECv5g06851	LdNA_17778	-
LDECv5g06852	LdNA_17780	-
LDECv5g06853	LdNA_17789	Neuroglobin; Dissostichus mawsoni 
LDECv5g06854	LdNA_17791	-
LDECv5g06855	LdNA_17794	RNA-binding protein 42; Danio rerio 
LDECv5g06856	LdNA_17795	Ubiquitin carboxyl-terminal hydrolase 46; Rattus norvegicus 
LDECv5g06858	LdNA_17796	Large ribosomal subunit protein eL21; Mus musculus 
LDECv5g06859	LdNA_17798	Myotubularin-related protein 8; Gallus gallus 
LDECv5g06860	LdNA_17799	Large ribosomal subunit protein mL48; Bos taurus 
LDECv5g06861	LdNA_17800	Uncharacterized protein C3orf38 homolog; Bos taurus 
LDECv5g06862	LdNA_17801	Ankyrin repeat and LEM domain-containing protein 2; Mus musculus 
LDECv5g06864	LdNA_17804	-
LDECv5g06865	LdNA_17806	RNA-binding protein 42; Danio rerio 
LDECv5g06866	LdNA_17807	-
LDECv5g06867	LdNA_17808	-
LDECv5g06868	LdNA_17809	"Beta-1,3-galactosyltransferase 5; Homo sapiens "
LDECv5g06869	LdNA_17810	Acid phosphatase type 7; Danio rerio 
LDECv5g06870	LdNA_17811	Programmed cell death protein 2; Mus musculus 
LDECv5g06871	LdNA_17812	Intraflagellar transport protein 57 homolog; Bos taurus 
LDECv5g06872	LdNA_17813	Apoptosis-resistant E3 ubiquitin protein ligase 1; Homo sapiens 
LDECv5g06873	LdNA_17817	-
LDECv5g06874	LdNA_17821	Embryonic polarity protein dorsal; Drosophila melanogaster 
LDECv5g06875	LdNA_17822	Embryonic polarity protein dorsal; Drosophila melanogaster 
LDECv5g06876	LdNA_17823	-
LDECv5g06877	LdNA_17824	Embryonic polarity protein dorsal; Drosophila melanogaster 
LDECv5g06878	LdNA_17825	-
LDECv5g06879	LdNA_17826	Transportin-3; Mus musculus 
LDECv5g06880	LdNA_17827	Serine/threonine-protein kinase 33; Mus musculus 
LDECv5g06881	LdNA_17828	Protein cornichon homolog 4; Xenopus tropicalis 
LDECv5g06882	LdNA_17829	Palmitoyltransferase ZDHHC3; Homo sapiens 
LDECv5g06884	LdNA_17831	Large ribosomal subunit protein eL42; Ochlerotatus triseriatus 
LDECv5g06885	LdNA_17832	WASH complex subunit 3; Drosophila melanogaster 
LDECv5g06886	LdNA_17834	-
LDECv5g06888	LdNA_17835	-
LDECv5g06889	LdNA_17837	-
LDECv5g06890	LdNA_17841	Zinc finger protein 26; Mus musculus 
LDECv5g06891	LdNA_17842	Transmembrane protein 184C; Mus musculus 
LDECv5g06892	LdNA_17844	Zinc finger protein 91; Homo sapiens 
LDECv5g06893	LdNA_17847	-
LDECv5g06894	LdNA_17850	-
LDECv5g06895	LdNA_17853	-
LDECv5g06897	LdNA_17856	Protein ALP1-like; Arabidopsis thaliana 
LDECv5g06899	LdNA_17863	-
LDECv5g06904	LdNA_17871	Zinc finger protein 358; Homo sapiens 
LDECv5g06905	LdNA_17874	-
LDECv5g06906	LdNA_17875	Leucine-rich repeat protein 1; Homo sapiens 
LDECv5g06907	LdNA_17876	ER membrane protein complex subunit 7; Macaca fascicularis 
LDECv5g06908	LdNA_17877	Inorganic pyrophosphatase; Drosophila melanogaster 
LDECv5g06909	LdNA_17878	Peroxynitrite isomerase THAP4; Bos taurus 
LDECv5g06910	LdNA_17879	Peroxynitrite isomerase THAP4; Mus musculus 
LDECv5g06911	LdNA_17880	J domain-containing protein CG6693; Drosophila melanogaster 
LDECv5g06912	LdNA_17881	-
LDECv5g06913	LdNA_17882	THO complex subunit 7 homolog; Nematostella vectensis 
LDECv5g06914	LdNA_17883	Neogenin (Fragment); Gallus gallus 
LDECv5g06915	LdNA_17884	-
LDECv5g06916	LdNA_17885	Transmembrane protein 53; Bos taurus 
LDECv5g06917	LdNA_17886	Integrator complex subunit 10; Drosophila melanogaster 
LDECv5g06918	LdNA_17887	DNA repair protein XRCC1; Mus musculus 
LDECv5g06919	LdNA_17888	Thrombospondin-2; Homo sapiens 
LDECv5g06920	LdNA_17889	Cytoplasmic dynein 2 heavy chain 1; Tripneustes gratilla 
LDECv5g06921	LdNA_17890	Transforming acidic coiled-coil-containing protein 3; Homo sapiens 
LDECv5g06922	LdNA_17891	Tetraspanin-11; Mus musculus 
LDECv5g06923	LdNA_17892	-
LDECv5g06924	LdNA_17893	Inhibitor of growth protein 1; Mus musculus 
LDECv5g06925	LdNA_17894	Ribosomal oxygenase 1; Danio rerio 
LDECv5g06926	LdNA_17895	rRNA-processing protein FCF1 homolog; Pongo abelii 
LDECv5g06927	LdNA_17896	"Enoyl-CoA delta isomerase 1, mitochondrial; Mus musculus "
LDECv5g06928	LdNA_17897	Carbonyl reductase [NADPH] 3; Rattus norvegicus 
LDECv5g06929	LdNA_17898	Carbonyl reductase [NADPH] 3; Mus musculus 
LDECv5g06930	LdNA_17899	Uncharacterized protein C1orf131 homolog; Rattus norvegicus 
LDECv5g06931	LdNA_17900	Myrosinase 1; Brevicoryne brassicae 
LDECv5g06933	LdNA_17901	Homeodomain-interacting protein kinase 1; Rattus norvegicus 
LDECv5g06934	LdNA_17903	Myrosinase 1; Brevicoryne brassicae 
LDECv5g06935	LdNA_17907	Carbonyl reductase [NADPH] 1; Sus scrofa 
LDECv5g06936	LdNA_17908	-
LDECv5g06937	LdNA_17909	Growth arrest-specific protein 2; Homo sapiens 
LDECv5g06938	LdNA_17910	Ecdysteroid UDP-glucosyltransferase; Spodoptera littoralis nuclear polyhedrosis virus 
LDECv5g06939	LdNA_17912	-
LDECv5g06940	LdNA_17913	ATP-binding cassette subfamily C member 4; Rattus norvegicus 
LDECv5g06941	LdNA_17914	Facilitated trehalose transporter Tret1; Culex quinquefasciatus 
LDECv5g06942	LdNA_17915	Troponin I; Drosophila melanogaster 
LDECv5g06945	LdNA_17916	Sorting nexin lst-4; Caenorhabditis elegans 
LDECv5g06944	LdNA_17917	Tetraspanin-11; Mus musculus 
LDECv5g06946	LdNA_17919	ADP-ribosylation factor GTPase-activating protein 3; Bos taurus 
LDECv5g06947	LdNA_17920	DNA-binding protein D-ETS-4; Drosophila melanogaster 
LDECv5g06948	LdNA_17921	ATP-binding cassette sub-family C member 4; Mus musculus 
LDECv5g06949	LdNA_17923	Calnexin; Pongo abelii 
LDECv5g06950	LdNA_17924	Proton-coupled amino acid transporter-like protein pathetic; Drosophila melanogaster 
LDECv5g06951	LdNA_17925	Proton-coupled amino acid transporter-like protein pathetic; Drosophila melanogaster 
LDECv5g06952	LdNA_17926	Proton-coupled amino acid transporter-like protein pathetic; Drosophila melanogaster 
LDECv5g06953	LdNA_17927	Transmembrane protein 237; Gallus gallus 
LDECv5g06954	LdNA_17928	Protein king tubby; Drosophila persimilis 
LDECv5g06955	LdNA_17929	WD repeat and FYVE domain-containing protein 3; Mus musculus 
LDECv5g06957	LdNA_15486	MOXD1 homolog 1; Drosophila melanogaster 
LDECv5g06958	LdNA_15485	Circadian clock-controlled protein daywake; Drosophila melanogaster 
LDECv5g06959	LdNA_15484	Protein takeout; Drosophila melanogaster 
LDECv5g06960	LdNA_15483	Protein takeout; Drosophila melanogaster 
LDECv5g06961	LdNA_15481	Circadian clock-controlled protein daywake; Drosophila melanogaster 
LDECv5g06962	LdNA_15480	Chitin deacetylase 1; Bombyx mori 
LDECv5g06963	LdNA_15479	"Alkaline phosphatase, tissue-nonspecific isozyme; Gallus gallus "
LDECv5g06964	LdNA_15476	Cardioacceleratory peptide receptor; Drosophila melanogaster 
LDECv5g06965	LdNA_15477	Myotrophin; Danio rerio 
LDECv5g06966	LdNA_15475	Ubiquitin carboxyl-terminal hydrolase 30 homolog; Drosophila melanogaster 
LDECv5g06967	LdNA_15474	Syntaxin-8; Homo sapiens 
LDECv5g06968	LdNA_15473	Methylthioribulose-1-phosphate dehydratase; Xenopus laevis 
LDECv5g06969	LdNA_15472	Zinc finger protein 595; Homo sapiens 
LDECv5g06970	LdNA_15471	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1; Drosophila melanogaster 
LDECv5g06971	LdNA_15470	"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase; Lithobates catesbeianus "
LDECv5g06972	LdNA_15469	Pericentrin; Homo sapiens 
LDECv5g06973	LdNA_15468	-
LDECv5g06974	LdNA_15466	Protein spaetzle 3; Drosophila melanogaster 
LDECv5g06975	LdNA_15465	-
LDECv5g06976	LdNA_15464	Repetitive proline-rich cell wall protein 2; Medicago truncatula 
LDECv5g06977	LdNA_15463	-
LDECv5g06978	LdNA_15462	-
LDECv5g06979	LdNA_15461	Putative inorganic phosphate cotransporter; Drosophila ananassae 
LDECv5g06980	LdNA_15460	"Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial; Branchiostoma floridae "
LDECv5g06981	LdNA_15459	"DNA polymerase subunit gamma-2, mitochondrial; Xenopus laevis "
LDECv5g06982	LdNA_15458	Condensin complex subunit 2; Xenopus laevis 
LDECv5g06983	LdNA_15457	GPI inositol-deacylase; Drosophila melanogaster 
LDECv5g06984	LdNA_15456	Hydroxysteroid dehydrogenase-like protein 2; Xenopus tropicalis 
LDECv5g06985	LdNA_15455	Amyloid protein-binding protein 2; Mus musculus 
LDECv5g06987	LdNA_15454	-
LDECv5g06988	LdNA_15453	Ketimine reductase mu-crystallin; Macropus fuliginosus 
LDECv5g06989	LdNA_15452	Cytochrome c oxidase subunit 6C; Trachypithecus cristatus 
LDECv5g06990	LdNA_15449	-
LDECv5g06991	LdNA_15450	Carbohydrate sulfotransferase 11; Homo sapiens 
LDECv5g06992	LdNA_15448	-
LDECv5g06993	LdNA_15447	Facilitated trehalose transporter Tret1; Culex quinquefasciatus 
LDECv5g06995	LdNA_15445	Beta-hexosaminidase subunit beta; Rattus norvegicus 
LDECv5g06996	LdNA_15444	"Complex I intermediate-associated protein 30, mitochondrial; Drosophila melanogaster "
LDECv5g06997	LdNA_15442	"Tyrosine--tRNA ligase, cytoplasmic; Danio rerio "
LDECv5g06998	LdNA_15440	Anillin; Xenopus laevis 
LDECv5g06999	LdNA_15439	Zinc finger protein 59; Mus musculus 
LDECv5g07000	LdNA_15437	-
LDECv5g07001	LdNA_15436	Phosphoribosyl pyrophosphate synthase-associated protein 2; Gallus gallus 
LDECv5g07002	LdNA_15435	Mitochondrial 2-oxoglutarate/malate carrier protein; Homo sapiens 
LDECv5g07003	LdNA_15434	Zinc finger-containing ubiquitin peptidase 1; Bos taurus 
LDECv5g07004	LdNA_15433	2-phosphoxylose phosphatase 1; Xenopus tropicalis 
LDECv5g07006	LdNA_15431	-
LDECv5g07007	LdNA_15430	-
LDECv5g07008	LdNA_15429	UPF0047 protein YjbQ; Escherichia coli (strain K12) 
LDECv5g07009	LdNA_15428	"DNA-directed RNA polymerase, mitochondrial; Mus musculus "
LDECv5g07010	LdNA_15427	Pre-mRNA-splicing factor Syf2; Drosophila melanogaster 
LDECv5g07011	LdNA_15426	Condensin complex subunit 3; Xenopus laevis 
LDECv5g07012	LdNA_15425	Protein alan shepard; Drosophila mojavensis 
LDECv5g07013	LdNA_15424	tRNA N(3)-methylcytidine methyltransferase Mettl2; Drosophila melanogaster 
LDECv5g07014	LdNA_15423	Tyrosine-protein phosphatase non-receptor type 4; Mus musculus 
LDECv5g07015	LdNA_15421	Serine-enriched protein; Drosophila melanogaster 
LDECv5g07016	LdNA_15418	ATP-binding cassette sub-family C member 4; Mus musculus 
LDECv5g07017	LdNA_15416	Centrosomal protein of 162 kDa; Mus musculus 
LDECv5g07018	LdNA_15417	Carboxypeptidase B; Astacus astacus 
LDECv5g07019	LdNA_15415	-
LDECv5g07020	LdNA_15414	THO complex subunit 1; Homo sapiens 
LDECv5g07022	LdNA_15412	Sorting nexin-8; Bos taurus 
LDECv5g07023	LdNA_15410	Prostaglandin reductase 1; Rattus norvegicus 
LDECv5g07024	LdNA_15411	Cell division cycle-associated 7-like protein; Homo sapiens 
LDECv5g07025	LdNA_15409	N-acylneuraminate cytidylyltransferase; Mus musculus 
LDECv5g07026	LdNA_15408	UPF0193 protein EVG1 homolog; Mus musculus 
LDECv5g07027	LdNA_15407	Gamma-tubulin complex component 2; Mus musculus 
LDECv5g07028	LdNA_15406	TBC1 domain family member 16; Homo sapiens 
LDECv5g07029	LdNA_15404	Brefeldin A-inhibited guanine nucleotide-exchange protein 3; Homo sapiens 
LDECv5g07030	LdNA_15402	TGF-beta-activated kinase 1 and MAP3K7-binding protein 2; Mus musculus 
LDECv5g07031	LdNA_15401	rRNA N6-adenosine-methyltransferase ZCCHC4; Rattus norvegicus 
LDECv5g07032	LdNA_15400	-
LDECv5g07034	LdNA_15398	Venom carboxylesterase-6; Apis mellifera 
LDECv5g07035	LdNA_15397	Juvenile hormone esterase; Tribolium castaneum 
LDECv5g07036	LdNA_15395	Pickpocket protein 28; Drosophila melanogaster 
LDECv5g07038	LdNA_15393	Proclotting enzyme; Tachypleus tridentatus 
LDECv5g07039	LdNA_15392	-
LDECv5g07040	LdNA_15391	Pickpocket protein 28; Drosophila melanogaster 
LDECv5g07041	LdNA_15390	Pickpocket protein 28; Drosophila melanogaster 
LDECv5g07042	LdNA_15389	Pickpocket protein 28; Drosophila melanogaster 
LDECv5g07043	LdNA_15388	Pickpocket protein 28; Drosophila melanogaster 
LDECv5g07044	LdNA_15386	Pickpocket protein 28; Drosophila melanogaster 
LDECv5g07045	LdNA_15385	Pickpocket protein 28; Drosophila melanogaster 
LDECv5g07046	LdNA_15383	-
LDECv5g07047	LdNA_15382	Trypsin; Sus scrofa 
LDECv5g07048	LdNA_15381	Protein Dok-7; Homo sapiens 
LDECv5g07050	LdNA_16838	-
LDECv5g07052	LdNA_15365	-
LDECv5g07053	LdNA_11428	PiggyBac transposable element-derived protein 3; Homo sapiens 
LDECv5g07054	LdNA_15357	E-selectin; Rattus norvegicus 
