Geneid	Uniprot_annotation	Interproscan_annotation	GO_term	KEGG_annotation
LDECv5g05283	NA	NA	GO:0005576, GO:0005575, GO:0008150	NA
LDECv5g05284	NA	NA	GO:0008150, GO:0005575, GO:0009987, GO:0003674, GO:0048878, GO:0006810, GO:0009605	NA
LDECv5g05285	NA	NA	GO:0005488, GO:0005575, GO:0003674, GO:0008150, GO:0016020, GO:0032991	NA
LDECv5g05286	Dynein light chain Tctex-type protein 2B; Danio rerio	Tctex-1 family|Dynein light chain Tctex-1-like|DLC-like_TCTEX1D2|Tctex-1-like superfamily	GO:0005737, GO:0005868, GO:0007018, GO:0045505, GO:0005575, GO:0043226, GO:0043227, GO:0032991, GO:0043229, GO:0031083, GO:0043231	K22866
LDECv5g05287	UDP-glycosyltransferase UGT5; Dactylopius coccus	UDP-glycosyltransferases signature.|UDP-glycosyltransferase family, conserved site|GT1_Gtf-like|UDP-glucuronosyl/UDP-glucosyltransferase|Glycogen Phosphorylase B;|UDP-glucuronosyltransferase|UDP-Glycosyltransferase/glycogen phosphorylase|UDP-glucoronosyl and UDP-glucosyl transferase|UDP-glucuronosyl/UDP-glucosyltransferase	GO:0008194, GO:0008150, GO:0003824, GO:0005575, GO:0005789, GO:0015020, GO:0016020, GO:0031090, GO:0016758, GO:0008152, GO:0043226, GO:0065007, GO:0043227, GO:0016740, GO:0003674, GO:0043229, GO:0016757	K00699
LDECv5g05288	Toll-like receptor 6; Drosophila melanogaster	Ribonuclease Inhibitor|Leucine-rich repeat domain superfamily|Leucine rich repeat|Leucine-rich repeat|Outer arm dynein light chain 1|Leucine-rich repeat profile.|Leucine-rich repeat|LRR_typ_2|Leucine-rich repeat, typical subtype|L domain-like	GO:0005515, GO:0007049	K17256
LDECv5g05289	Adenylate cyclase; Podospora anserina	Ribonuclease Inhibitor|Leucine-rich repeat domain superfamily|Leucine rich repeat|Leucine-rich repeat|L domain-like|Leucine-rich repeat profile.|Leucine-rich repeat|LRR_typ_2|Leucine-rich repeat, typical subtype|Leucine-rich repeat signature|LRR_sd22_2|Leucine Rich Repeat|Leucine-rich repeat	GO:0005515, GO:0032880, GO:0140096, GO:0005575	NA
LDECv5g05290	Probable phosphorylase b kinase regulatory subunit alpha; Drosophila melanogaster	Phosphorylase b kinase regulatory subunit|Six-hairpin glycosidase-like superfamily|Phosphorylase b kinase C-terminal domain|Phosphorylase b kinase regulatory subunit alpha/beta, C-terminal domain|Six-hairpin glycosidases|Six-hairpin glycosidase superfamily|Glycosyl hydrolases family 15|GH15-like domain	GO:0005975, GO:0005516, GO:0005964, GO:0005977, GO:0005488, GO:0008150, GO:0005575, GO:0003674, GO:0009987, GO:0016020, GO:0003824, GO:0005886, GO:0050789, GO:0065007	K07190
LDECv5g05291	ADP-ribosylation factor-like protein 1; Drosophila melanogaster	P-loop containing nucleoside triphosphate hydrolase|Arl1|arf_sub_2|rab_sub_5|small GTPase Arf family profile.|ADP-ribosylation factor-like protein 1|small GTPase Rab1 family profile.|ADP-ribosylation factor family|Small GTPase superfamily, ARF/SAR type|P-loop containing nucleoside triphosphate hydrolases|P-loop containing nucleoside triphosphate hydrolase|small GTP-binding protein domain|Small GTP-binding domain|GTP-binding SAR1 protein signature|Small GTPase superfamily, ARF/SAR type|sar_sub_1|Small GTPase superfamily, ARF/SAR type	GO:0005525, GO:0003924, GO:0005794, GO:0098791, GO:0043168, GO:0005488, GO:0008150, GO:0097367, GO:0051641, GO:0005575, GO:0051234, GO:0051649, GO:0045184, GO:0019001, GO:0032561, GO:1901363, GO:0043231, GO:0043229, GO:0006886, GO:0046907, GO:0043167, GO:0051179, GO:0033036, GO:0043227, GO:0003674, GO:0071705, GO:0001882, GO:1901265, GO:0000166, GO:0043226, GO:0031984, GO:0015833, GO:0008104, GO:0034067, GO:0015031, GO:0001883, GO:0017076, GO:0032550, GO:0035639, GO:0032555, GO:0032549, GO:0032553, GO:0036094, GO:0005802, GO:0006810, GO:0016192, GO:0003824, GO:0016043, GO:0071840, GO:0017111, GO:0009987, GO:0008152, GO:0033365, GO:0007030, GO:0005783, GO:0070861, GO:0009404, GO:0005737, GO:0016818, GO:0006996, GO:0016462, GO:0072657, GO:1903292, GO:0042147, GO:0032880, GO:0060628, GO:0016482, GO:0016817, GO:0033363, GO:0019748	K07942
LDECv5g05292	Splicing factor YJU2; Mus musculus	Saf4/Yju2 protein|Splicing factor YJU2 [YJU2].|Splicing factor Yju2	GO:0000398, GO:0008380, GO:0071006, GO:0016070, GO:0005488, GO:0065007, GO:0008150, GO:0016043, GO:0071840, GO:0009987, GO:0005575, GO:1901363, GO:0043170, GO:0008152, GO:0003674, GO:0090304, GO:0006139, GO:0044238, GO:0032991, GO:0050789, GO:0050794, GO:0048583, GO:1990904, GO:0005681, GO:0006396, GO:1902494, GO:0003676, GO:0043518, GO:0019538, GO:0019222, GO:0009966, GO:0080135, GO:1901797, GO:0023051, GO:0140096, GO:0080134, GO:0010646	K28527
LDECv5g05293	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial; Drosophila melanogaster	atu1810 like domain|NADH dehydrogenase ubiquinone Fe-S protein 4-like superfamily|NADH dehydrogenase ubiquinone Fe-S protein 4|NADH dehydrogenase ubiquinone Fe-S protein 4 mitochondrial-like|NADH-ubiquinone oxidoreductase 21 kDa subunit mitochondrial	GO:0022900, GO:0008150, GO:0009987, GO:0005575, GO:0043227, GO:0043226, GO:0065007, GO:0032502, GO:0071840, GO:0043229, GO:0043231, GO:0022414, GO:0048869, GO:0048518, GO:0016043, GO:0050789, GO:0003674, GO:0048856, GO:0016020, GO:0016049, GO:0005515	K03937
LDECv5g05294	G1/S-specific cyclin-D3; Homo sapiens	Cyclin, N-terminal domain|Cyclin, N-terminal|Cyclin-like|Cyclin-like superfamily|Cyclin, C-terminal domain|G1/S-specific cyclin-D2|CYCLIN_CCND_rpt2|Cyclin_C_2|Cyclin, C-terminal domain|cyclin_7|Cyclin-like domain|Cyclins signature.|Cyclins, cyclin-box	GO:0005488, GO:0065007, GO:0008150, GO:0003824, GO:0140096, GO:1902494, GO:0007049, GO:0009987, GO:0005575, GO:0000307, GO:0016538, GO:0030234, GO:0043231, GO:0043229, GO:0016301, GO:0019207, GO:0043227, GO:0000278, GO:0098772, GO:0003674, GO:0005634, GO:0043226, GO:0006793, GO:0048518, GO:0008284, GO:0005515, GO:0004672, GO:1902911, GO:0019887, GO:0019538, GO:0006468, GO:0032991, GO:0050789, GO:0051726, GO:0051128, GO:0050794, GO:0060255, GO:0019222, GO:0033043, GO:0042325, GO:0080090, GO:0045859, GO:0031399, GO:0001932, GO:1902554, GO:0016772, GO:1990234, GO:0061695, GO:0048522, GO:0000079, GO:0010468, GO:0043549, GO:0005737, GO:0060089, GO:0016310, GO:0051174, GO:0071478, GO:0006796, GO:0019901, GO:0042127, GO:0010564, GO:0016773, GO:0016740, GO:0019899, GO:0048519, GO:0036211, GO:0045787, GO:0009314, GO:0019900, GO:0009889, GO:0051301, GO:0007088, GO:2001141, GO:0044238	K04503
LDECv5g05295	NA	NA	GO:0008150, GO:0009987, GO:0005575, GO:0005815, GO:0050789, GO:0032991, GO:0016043, GO:0065007, GO:0043226, GO:0071840, GO:0050794, GO:0098687	NA
LDECv5g05296	Spondin-1; Rattus norvegicus	Spondin domain profile.|Spondin, N-terminal|Spondin, N-terminal domain superfamily|Reeler domain|Reeler domain superfamily|Spondin_N|Spondin, N-terminal|Reeler domain|Reeler|Reeler domain|Reelin domain profile.|Reeler domain	GO:0007155, GO:0031012	NA
LDECv5g05297	Spondin-1; Gallus gallus	TSP-1 type 1 repeat|Thrombospondin type-1 repeat superfamily|Spondin domain profile.|Spondin, N-terminal|Kunitz-type|Thrombospondin type-1 (TSP1) repeat profile.|Thrombospondin type-1 (TSP1) repeat|BPTI-like|Pancreatic trypsin inhibitor Kunitz domain superfamily|Thrombospondin type-1 repeat superfamily|Basic protease (Kunitz-type) inhibitor family signature|Pancreatic trypsin inhibitor Kunitz domain|Thrombospondin type 1 domain|Thrombospondin type-1 (TSP1) repeat|Spondin, N-terminal domain superfamily|TSP1_2|Thrombospondin type-1 (TSP1) repeat|Kunitz/Bovine pancreatic trypsin inhibitor domain|Pancreatic trypsin inhibitor Kunitz domain|Pancreatic trypsin inhibitor Kunitz domain|Pancreatic trypsin inhibitor Kunitz domain superfamily|Pancreatic trypsin inhibitor (Kunitz) family profile.|Pancreatic trypsin inhibitor Kunitz domain|Spondin-like TSP1 domain|Spondin_N|Spondin, N-terminal|Pancreatic trypsin inhibitor (Kunitz) family signature.|Proteinase inhibitor I2, Kunitz, conserved site|spondin domain|Spondin, N-terminal|KU_2|Pancreatic trypsin inhibitor Kunitz domain	GO:0004867, GO:0007155, GO:0031012, GO:0005488, GO:0003674, GO:0048584, GO:0048583, GO:0080134, GO:0005515	K24427
LDECv5g05298	Neuropeptides capa receptor; Drosophila melanogaster	G-protein coupled receptors family 1 signature.|G protein-coupled receptor, rhodopsin-like|Rhodopsin-like GPCR superfamily signature|G protein-coupled receptor, rhodopsin-like|7 transmembrane receptor (rhodopsin family)|G protein-coupled receptor, rhodopsin-like|G-protein coupled receptors family 1 profile.|GPCR, rhodopsin-like, 7TM|Neuromedin U receptor family signature|Neuromedin U receptor|Family A G protein-coupled receptor-like	GO:0004930, GO:0007186, GO:0016020, GO:0005886, GO:0007218, GO:0008188, GO:0001607, GO:0008528, GO:0065007, GO:0008150, GO:0009987, GO:0005575, GO:0051179, GO:0060089, GO:0003674, GO:0050789, GO:0050794, GO:0050896, GO:0007165, GO:0038023, GO:0004888, GO:0006810, GO:0051234, GO:0001653, GO:0051480, GO:0042221, GO:0006811, GO:0031644, GO:0006950	K05052
LDECv5g05299	ATP-binding cassette subfamily G member 4; Mus musculus	ATP-binding cassette, ABC transporter-type domain profile.|ABC transporter-like, ATP-binding domain|P-loop containing nucleoside triphosphate hydrolase|ABC transporter|ABC transporter-like, ATP-binding domain|ABC transporters family signature.|ABC transporter-like, conserved site|P-loop containing nucleoside triphosphate hydrolases|P-loop containing nucleoside triphosphate hydrolase|Uncharacterized protein, isoform A|ABC-2 type transporter|ABC-2 type transporter, transmembrane domain|AAA_5|AAA+ ATPase domain|ABCG_EPDR|ABC-2 type transporter|ABC transporter family G domain	GO:0005524, GO:0016887, GO:0005886, GO:0016020, GO:0042626, GO:0055085, GO:0140359, GO:0022804, GO:0030554, GO:0032559, GO:0005488, GO:0008150, GO:0097367, GO:0005575, GO:0051234, GO:0051179, GO:0003674, GO:1901265, GO:0000166, GO:0015399, GO:0017076, GO:0035639, GO:0032555, GO:0032553, GO:0022857, GO:0006810, GO:0005215, GO:0032501, GO:0036094, GO:0050896, GO:0065007, GO:0065008, GO:0043168, GO:0043167	K05679
LDECv5g05300	NA	NA	GO:0003674, GO:0003824, GO:0008152, GO:0008150	NA
LDECv5g05301	Zinc finger protein 665; Homo sapiens	Classic Zinc Finger|Zinc finger protein|Zinc finger C2H2 type domain profile.|Zinc finger C2H2-type|Zinc finger protein 574|Spalt-like transcription factor 4|Zinc finger protein 33A|beta-beta-alpha zinc fingers|Zinc finger C2H2 superfamily|C2H2-type zinc finger|Zinc finger C2H2-type|Zinc finger C2H2 type domain signature.|Zinc finger C2H2-type|Zinc finger 45-like|Zinc-finger of C2H2 type|Zinc finger C2H2-type|Myeloid zinc finger 1|zinc finger protein 697|c2h2final6|Zinc finger C2H2-type|Zinc finger, C2H2 type|Zinc finger C2H2-type	GO:0000978, GO:0000981, GO:0006357, GO:0003677, GO:0005488, GO:0065007, GO:0008150, GO:0043169, GO:0005575, GO:0098687, GO:1901363, GO:0043231, GO:0043229, GO:0043167, GO:0043227, GO:0046872, GO:0003674, GO:0003676, GO:0005634, GO:0043226, GO:0048518, GO:0009891, GO:0048522, GO:0009893, GO:0050789, GO:0009889, GO:0050794, GO:0010556, GO:0060255, GO:0019222, GO:0019219, GO:0080090, GO:0010557, GO:0010468, GO:0010604, GO:2001141, GO:0051252, GO:0010628, GO:0006355, GO:0044794, GO:0065009, GO:0046914	K09228
LDECv5g05302	Icarapin-like; Apis mellifera	NA	GO:0005576, GO:0003755, GO:0003674, GO:0016859	NA
LDECv5g05303	Large ribosomal subunit protein uL6; Spodoptera frugiperda	Ribosomal protein L6|Large ribosomal subunit protein uL6, alpha-beta domain|RPL6p_RPL6a_RPL9e_RPL9o|Large ribosomal subunit protein uL6-like|Large ribosomal subunit protein uL6-like, alpha-beta domain superfamily|60S ribosomal protein L9|Ribosomal protein L6 signature 2.|Large ribosomal subunit protein uL6, conserved site-2|Ribosomal protein L6|Large ribosomal subunit protein uL6-like, alpha-beta domain superfamily	GO:0003735, GO:0005840, GO:0006412, GO:0019843, GO:0002181, GO:0022625, GO:0003723, GO:0008150, GO:0009058, GO:0009987, GO:0005575, GO:1901363, GO:0009059, GO:0043170, GO:0008152, GO:0003674, GO:0003676, GO:0043043, GO:0006518, GO:0044238, GO:0019538, GO:0032991, GO:1990904, GO:0044391, GO:0005198, GO:0005488, GO:0043226, GO:0015934, GO:0043229	K02940
LDECv5g05304	Signal-induced proliferation-associated 1-like protein 1; Mus musculus	Signal-induced proliferation-associated 1-like protein 1|PDZ superfamily|pdz_new|PDZ domain|PDZ domain-like|PDZ superfamily|Rap/Ran-GAP|Rap/Ran-GAP superfamily|Rap GTPase activating proteins domain profile.|Rap/Ran-GAP domain|PDZ domain profile.|PDZ domain|Rap/ran-GAP|Rap/Ran-GAP domain|Rap/Ran-GAP superfamily|Rap/Ran-GAP protein dimerization domain|PDZ_SIPA1-like	GO:0005515, GO:0005096, GO:0005737, GO:0051056, GO:0048856, GO:0005488, GO:0065007, GO:0008150, GO:0016043, GO:0071840, GO:0048869, GO:0009987, GO:0005575, GO:0032502, GO:0003674, GO:0048519, GO:0043226, GO:0048518, GO:0048522, GO:0050789, GO:0051128, GO:0050794, GO:0048523, GO:0006996, GO:0009653, GO:0043229, GO:0033043, GO:0032991, GO:0032970, GO:0032880, GO:0022607, GO:0051239, GO:0009893, GO:0010604, GO:0032879, GO:0035148, GO:0050793, GO:0009791, GO:0030029	K17701
LDECv5g05305	SCAN domain-containing protein 3; Homo sapiens	BED zinc finger|Zinc finger, BED-type|Zinc finger BED-type profile.|Zinc finger, BED-type|FAM200/ZBED5 RNase-like	GO:0003677, GO:0008150, GO:0009987, GO:0003676, GO:1901363, GO:0005575	NA
LDECv5g05306	SCAN domain-containing protein 3; Homo sapiens	NA	GO:0043229, GO:0043226, GO:0043231, GO:0005634	NA
LDECv5g05307	Ferritin, heavy subunit; Trematomus bernacchii	Ferritin-like diiron domain profile.|Ferritin-like diiron domain|Ferritin-like domain|Ferritin/DPS domain|Ferritin-like|Ferritin, mitochondrial|Ferritin-like|Ferritin-like superfamily|Euk_Ferritin|Ferritin iron-binding regions signature 2.|Ferritin, conserved site	GO:0008199, GO:0005737, GO:0006826, GO:0006879, GO:0008198, GO:0005488, GO:0065007, GO:0008150, GO:0003824, GO:0043169, GO:0055080, GO:0006812, GO:0030003, GO:0055082, GO:0019725, GO:0006873, GO:0009987, GO:0005575, GO:0048878, GO:0051234, GO:0004322, GO:0042592, GO:0098771, GO:0043167, GO:0050801, GO:0006811, GO:0005506, GO:0051179, GO:0046872, GO:0030001, GO:0003674, GO:0016491, GO:0016722, GO:0016724, GO:0065008, GO:0046914, GO:0000041, GO:0006810	K00522
LDECv5g05308	Cholesin; Mus musculus	WKF domain	GO:0043227, GO:0043231	NA
LDECv5g05309	Peroxidasin homolog; Mus musculus	IG_3c|Immunoglobulin domain subtype|Ig-like domain profile.|Immunoglobulin-like domain|Immunoglobulin|Immunoglobulin-like domain superfamily|Immunoglobulin domain|Ig|Immunoglobulins|Immunoglobulin-like fold|igc2_5|Immunoglobulin subtype 2	GO:0005886, GO:0007156, GO:0008046, GO:0030424, GO:0043025, GO:0050808, GO:0005488, GO:0065007, GO:0008150, GO:0005575, GO:0003674, GO:0050789, GO:0009889, GO:0050794, GO:0002376, GO:0048518, GO:0001817, GO:0050896, GO:0019222	NA
LDECv5g05310	Bifunctional trehalose-6-phosphate synthase/phosphatase; Thermoproteus tenax (strain ATCC 35583 / DSM 2078 / JCM 9277 / NBRC 100435 / Kra 1)	HAD superfamily|Trehalose-6-phosphate synthase|Putative Alpha,alpha-trehalose-phosphate synthase|Trehalose-phosphatase|Alpha,alpha-trehalose-phosphate synthase|GT20_TPS|Glycosyl transferase, family 20|Glycogen Phosphorylase B;|HAD-like|HAD-like superfamily|Glycosyltransferase family 20|Glycosyl transferase, family 20|trehalose-phosphatase|Trehalose-phosphatase|HAD_TPP|HAD-IIB family hydrolase|HAD-superfamily hydrolase, subfamily IIB|bifunctional alpha,alpha-trehalose-phosphate synthase (UDP-forming)/trehalose-phosphatase|UDP-Glycosyltransferase/glycogen phosphorylase	GO:0005992, GO:0003824, GO:0003825, GO:0004805, GO:0005829, GO:0003674, GO:0016757, GO:0009987, GO:0016740, GO:0043167, GO:0008150, GO:0043169, GO:0016758	K16055
LDECv5g05311	NA	NA	GO:0003674, GO:0005575, GO:0008150, GO:0022414	NA
LDECv5g05312	NA	NA	GO:0003824, GO:0008150	NA
LDECv5g05313	Glutamate receptor ionotropic, kainate 3; Mus musculus	GluR_14|Ionotropic glutamate receptor, C-terminal|Ligand-gated ion channel|Ionotropic glutamate receptor, C-terminal|Periplasmic binding protein-like II|Probable glutamate receptor|NMDA receptor signature|Ionotropic glutamate receptor, metazoa|Glutamate receptor, ionotropic kainate|Receptor family ligand binding region|Receptor, ligand binding region|Lig_chan_Glu_bd_2|Ionotropic glutamate receptor, L-glutamate and glycine-binding domain|Ligated ion channel L-glutamate- and glycine-binding site|Ionotropic glutamate receptor, L-glutamate and glycine-binding domain|Glutamate receptor subunit|Periplasmic binding protein-like I|PBP2_iGluR_Kainate	GO:0015276, GO:0016020, GO:0005216, GO:0006811, GO:0038023, GO:0005488, GO:0065007, GO:0008150, GO:0005261, GO:0034703, GO:0055080, GO:0008324, GO:0030054, GO:0009987, GO:0005575, GO:0015267, GO:0005230, GO:0022836, GO:0008066, GO:0034702, GO:0022839, GO:0050801, GO:0015075, GO:0004970, GO:0008328, GO:0015277, GO:0099094, GO:0022834, GO:0051179, GO:0098796, GO:0046873, GO:0060089, GO:0003674, GO:0030594, GO:0098878, GO:0022803, GO:0005886, GO:0098590, GO:0005267, GO:0032991, GO:0043235, GO:0050789, GO:0065008, GO:0050794, GO:0050896, GO:0007165, GO:0023052, GO:0004888, GO:0022857, GO:1902495, GO:0022835, GO:0022824, GO:0005215, GO:1990351, GO:0042995, GO:0051234, GO:0098802, GO:0098960, GO:0030001, GO:0098797, GO:0005272, GO:0120025, GO:0006812, GO:0006810, GO:0098771, GO:0043005, GO:0030003, GO:0015079, GO:0023051, GO:1901701, GO:1904315, GO:0007267, GO:0042221, GO:1901700, GO:0055082, GO:0010646, GO:0019725, GO:0006873, GO:0097060, GO:0035249, GO:0006874, GO:0033036, GO:0005515, GO:0055074, GO:0032501, GO:0051716, GO:0071229, GO:0099177, GO:0043523	K05313
LDECv5g05314	NA	NA	NA	NA
LDECv5g05315	Beta-1,3-glucan-binding protein; Plodia interpunctella	Beta-1,3-glucan-binding protein, N-terminal domain superfamily|CBM39 (carbohydrate binding type-39) domain profile.|Beta-1,3-glucan-binding protein, N-terminal|Carbohydrate binding domain (family 32)|Beta-1,3-glucan-binding protein, N-terminal	GO:0030246, GO:0005575, GO:0016020, GO:0006810, GO:0051234, GO:0005488, GO:0051179	NA
LDECv5g05316	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1; Mus musculus	HMG-box_SMARCE1|hmgende2|High mobility group box domain|HMG-box|High mobility group box domain superfamily|HMG boxes A and B DNA-binding domains profile.|High mobility group box domain|Putative SWI/SNF-related matrix-associated actin-dependent regulator chromatin subfamily E member|High mobility group box domain|High mobility group box domain superfamily|HMG (high mobility group) box|High mobility group box domain	GO:0016514, GO:0016922, GO:0031492, GO:0045892, GO:0008150, GO:0005575, GO:0019222, GO:0080090, GO:0065007, GO:0016043, GO:0071840, GO:0009987, GO:0060255, GO:0050789, GO:0043933, GO:0016020, GO:0071705	K11651
LDECv5g05317	Odorant receptor 4; Aedes aegypti	7tm Odorant receptor|Olfactory receptor, insect	GO:0004984, GO:0005549, GO:0007608, GO:0016020, GO:0005886, GO:0050911, GO:0065007, GO:0008150, GO:0009987, GO:0005575, GO:0050907, GO:0060089, GO:0003674, GO:0032501, GO:0050877, GO:0050789, GO:0038023, GO:0003008, GO:0004888, GO:0007165, GO:0051606, GO:0007606, GO:0050794, GO:0007600, GO:0005488	NA
LDECv5g05318	Tubulin-specific chaperone cofactor E-like protein; Rattus norvegicus	Ribonuclease Inhibitor|Leucine-rich repeat domain superfamily|Predicted protein|Ubiquitin-like domain|Ubiquitin-like|Ubiquitin-like domain superfamily|L domain-like	GO:0005515, GO:0005488, GO:0003674, GO:0005575	K22449
LDECv5g05319	Persulfide dioxygenase ETHE1, mitochondrial; Mus musculus	Metallo-hydrolase/oxidoreductase|Ribonuclease Z/Hydroxyacylglutathione hydrolase-like|Metallo-beta-lactamase superfamily|Metallo-beta-lactamase|POD-like_MBL-fold|Persulfide dioxygenase-like, MBL-fold metallo-hydrolase domain|Ribonuclease Z/Hydroxyacylglutathione hydrolase-like|Lactamase_B_5a|Metallo-beta-lactamase|Persulfide dioxygenase ETHE1, mitochondrial	GO:0006749, GO:0050313, GO:0005739, GO:0070813, GO:0008150, GO:0003824, GO:0009987, GO:0006089, GO:0003674, GO:0009438, GO:0046185	K17725
LDECv5g05320	Amyloid-beta-like protein; Drosophila melanogaster	Amyloid precursor protein (APP) intracellular domain signature.|Amyloidogenic glycoprotein, intracellular domain, conserved site|Amyloid A4 N-terminal heparin-binding|Amyloidogenic glycoprotein, heparin-binding|E2 domain of amyloid precursor protein|Amyloidogenic glycoprotein, E2 domain|Amyloid precursor protein (APP) E2 domain profile.|Amyloidogenic glycoprotein, E2 domain|A heparin-binding domain|Amyloidogenic glycoprotein, heparin-binding domain superfamily|A4_EXTRA_3|Amyloidogenic glycoprotein, extracellular|Copper-binding of amyloid precursor, CuBD|Amyloidogenic glycoprotein, copper-binding|Amyloid precursor protein (APP) copper-binding (CuBD) domain signature.|Amyloidogenic glycoprotein, copper-binding domain conserved site|Amyloid precursor protein, E2 domain|E2 domain superfamily|CAPPD, an extracellular domain of amyloid beta A4 protein|E2 domain superfamily|Amyloid precursor protein (APP) E1 domain profile.|Amyloidogenic glycoprotein, extracellular|Amyloidogenic glycoprotein, copper-binding domain superfamily|Amyloidogenic glycoprotein, heparin-binding domain superfamily|PH-like domain superfamily|Amyloid A4 protein precursor signature|Amyloidogenic glycoprotein|Beta-amyloid precursor protein C-terminus|Beta-amyloid precursor protein C-terminal|Amyloid beta a4 protein copper binding domain (domain 2)|Amyloidogenic glycoprotein, copper-binding domain superfamily	GO:0008201, GO:0007409, GO:0007417, GO:0016020, GO:0043005, GO:0043025, GO:0046914, GO:0008150, GO:0005575, GO:0032502, GO:0048856, GO:0009987, GO:0005488, GO:0050789, GO:0051246, GO:0071840, GO:0032991, GO:0016043, GO:0043226, GO:0097708, GO:0031410	K04520
LDECv5g05321	Galectin-8; Homo sapiens	GLECT|Galectin, carbohydrate recognition domain|Galactoside-binding lectin|Galectin, carbohydrate recognition domain|Galactoside-binding lectin (galectin) domain profile.|Galectin, carbohydrate recognition domain|Gal_bind_lectin_2|Galectin, carbohydrate recognition domain|Concanavalin A-like lectins/glucanases|Concanavalin A-like lectin/glucanase domain superfamily|galectin_3|Galectin, carbohydrate recognition domain	GO:0030246, GO:0016936, GO:0008150	NA
LDECv5g05322	DNA-directed RNA polymerase III subunit RPC3; Bos taurus	POLR3C, C-terminal winged-helix domain|DNA-directed RNA polymerase III subunit RPC3, winged-helix domain|Winged helix-like DNA-binding domain superfamily|RNA polymerase III subunit RPC82 helix-turn-helix domain|RNA polymerase III subunit RPC82-related, helix-turn-helix|RNA polymerase III subunit RPC82|RNA polymerase III Rpc82, C -terminal|DNA-directed RNA polymerase III subunit RPC3, helical hairpin domain	GO:0003697, GO:0005666, GO:0003677, GO:0006351, GO:0008150, GO:0005575, GO:0043227, GO:0043231, GO:0043229, GO:0033036, GO:0043226, GO:0002252, GO:0016020, GO:0065007, GO:0008104, GO:0050789, GO:0009987, GO:0002376	K03023
LDECv5g05323	Arylalkylamine N-acetyltransferase 1; Drosophila melanogaster	Acetyltransferase (GNAT) family|GNAT domain|NAT_SF|Dopamine N-acetyltransferase|Acyl-CoA N-acyltransferases (Nat)|Acyl-CoA N-acyltransferase|Gcn5-related N-acetyltransferase (GNAT) domain profile.|GNAT domain	GO:0016747, GO:0008080, GO:0005488, GO:0008150, GO:0003674, GO:1901363, GO:0003824, GO:0046872, GO:0005575, GO:0065007, GO:0043169, GO:0050896, GO:0043167, GO:0043170	NA
LDECv5g05324	Fasciculation and elongation protein zeta-2; Mus musculus	FEZ-like protein|Fasciculation and elongation protein zeta, FEZ	GO:0005737, GO:0030424, GO:0005575	K25668
LDECv5g05325	Protein Smaug homolog 2; Homo sapiens	SAM/Pointed domain|Sterile alpha motif/pointed domain superfamily|SAM_4|Sterile alpha motif domain|SMAUG-like PHAT domain|SMAUG/ZCCHC2-like, PHAT domain|SAM domain (Sterile alpha motif)|Sterile alpha motif domain|Sterile alpha motif/pointed domain superfamily|Smaug, PHAT domain|Smaug, PHAT domain superfamily	GO:0000289, GO:0000932, GO:0003729, GO:0005515, GO:0003723, GO:0017148, GO:0030371, GO:0008150, GO:0009987, GO:0005575, GO:0005737, GO:0007017, GO:0048731, GO:0005488, GO:0051241, GO:0003674	K27396
LDECv5g05326	Odorant receptor 4; Aedes aegypti	7tm Odorant receptor|Olfactory receptor, insect	GO:0004984, GO:0005549, GO:0005886, GO:0007608, GO:0016020, GO:0050911, GO:0065007, GO:0008150, GO:0005575, GO:0009593, GO:0050907, GO:0051606, GO:0050906, GO:0060089, GO:0003674, GO:0032501, GO:0050877, GO:0050789, GO:0007600, GO:0007606, GO:0007165, GO:0038023, GO:0003008, GO:0004888, GO:0050794, GO:0007635	NA
LDECv5g05327	Lipase 3; Drosophila melanogaster	alpha/beta-Hydrolases|Alpha/Beta hydrolase fold|Steryl_ester_lip|Lipase, eukaryotic|alpha/beta hydrolase|Alpha/Beta hydrolase fold|Lipase|Partial alpha/beta-hydrolase lipase region|Partial AB-hydrolase lipase domain	GO:0016788, GO:0006629, GO:0008150, GO:0003824, GO:0016787, GO:0008152, GO:0003674	K01052
LDECv5g05328	Lipase 3; Drosophila melanogaster	Partial alpha/beta-hydrolase lipase region|Partial AB-hydrolase lipase domain|alpha/beta hydrolase|Alpha/Beta hydrolase fold|Lipase|alpha/beta-Hydrolases|Alpha/Beta hydrolase fold	GO:0006629, GO:0008150, GO:0003824, GO:0009987, GO:0005575, GO:0016787, GO:0016020, GO:0008152, GO:0003674, GO:0005886	K01052
LDECv5g05329	NA	NA	GO:0005488, GO:0008150, GO:0009987, GO:0005575, GO:0098772, GO:0003674, GO:0005515, GO:0030546, GO:0005102, GO:0048018, GO:0030545, GO:0008283	NA
LDECv5g05330	NA	NA	GO:0005575, GO:0005576, GO:0007218, GO:0007165, GO:0005179, GO:0005488	NA
