Ldecemlineata	Dmelanogaster
LDECv5g01397	FBgn0026616
LDECv5g01407	FBgn0051739
LDECv5g01427	FBgn0031976
LDECv5g01432	FBgn0003042
LDECv5g01433	FBgn0037074
LDECv5g01484	FBgn0283478
LDECv5g01499	FBgn0016685
LDECv5g01504	FBgn0028499
LDECv5g01514	FBgn0032075
LDECv5g01516	FBgn0011829
LDECv5g01561	FBgn0027550
LDECv5g01567	FBgn0284257
LDECv5g01615	FBgn0039492
LDECv5g01646	FBgn0029785
LDECv5g01648	FBgn0033088
LDECv5g01661	FBgn0035252
LDECv5g01699	FBgn0036697
LDECv5g01750	FBgn0030791
LDECv5g01757	FBgn0034644
LDECv5g01767	FBgn0036764
LDECv5g01794	FBgn0029133
LDECv5g01803	FBgn0037248
LDECv5g01805	FBgn0053970
LDECv5g01848	FBgn0001253
LDECv5g01860	FBgn0035871
LDECv5g01871	FBgn0025709
LDECv5g01874	FBgn0039528
LDECv5g01883	FBgn0036908
LDECv5g01904	FBgn0033629
LDECv5g01919	FBgn0033250
LDECv5g01928	FBgn0031294
LDECv5g01962	FBgn0033224
LDECv5g01966	FBgn0260942
LDECv5g01976	FBgn0000039
LDECv5g01980	FBgn0005586
LDECv5g02033	FBgn0039747
LDECv5g02040	FBgn0035298
LDECv5g02049	FBgn0265274
LDECv5g02050	FBgn0036309
LDECv5g02052	FBgn0032857
LDECv5g02058	FBgn0004876
LDECv5g02064	FBgn0031670
LDECv5g02065	FBgn0016075
LDECv5g02066	FBgn0000299
LDECv5g02068	FBgn0033457
LDECv5g02075	FBgn0031006
LDECv5g02094	FBgn0039045
LDECv5g02189	FBgn0031149
LDECv5g02229	FBgn0029995
LDECv5g02239	FBgn0010909
LDECv5g02257	FBgn0033368
LDECv5g02282	FBgn0030634
LDECv5g02300	FBgn0261705
LDECv5g02304	FBgn0010217
LDECv5g02336	FBgn0031832
LDECv5g02349	FBgn0027088
LDECv5g02350	FBgn0037728
LDECv5g02381	FBgn0027066
LDECv5g02383	FBgn0036710
LDECv5g02386	FBgn0037297
LDECv5g02390	FBgn0013813
LDECv5g02392	FBgn0038221
LDECv5g02397	FBgn0053087
LDECv5g02402	FBgn0032723
LDECv5g02471	FBgn0030992
LDECv5g02474	FBgn0023517
LDECv5g02477	FBgn0037299
LDECv5g02518	FBgn0034304
LDECv5g02565	FBgn0031997
LDECv5g02602	FBgn0031947
LDECv5g02610	FBgn0031090
LDECv5g02613	FBgn0036741
LDECv5g02635	FBgn0036681
LDECv5g02638	FBgn0036680
LDECv5g02671	FBgn0002440
LDECv5g02681	FBgn0087013
LDECv5g02748	FBgn0031745
LDECv5g02760	FBgn0000339
LDECv5g02774	FBgn0031987
LDECv5g02785	FBgn0032194
LDECv5g02856	FBgn0027086
LDECv5g02863	FBgn0043900
LDECv5g02872	FBgn0029667
LDECv5g02882	FBgn0032956
LDECv5g02883	FBgn0013342
LDECv5g02996	FBgn0035675
LDECv5g02997	FBgn0261108
LDECv5g03004	FBgn0015321
LDECv5g03017	FBgn0287828
LDECv5g03053	FBgn0037186
LDECv5g03148	FBgn0035586
LDECv5g03176	FBgn0031070
LDECv5g03177	FBgn0030345
LDECv5g03185	FBgn0011289
LDECv5g03187	FBgn0036191
LDECv5g03227	FBgn0052528
LDECv5g03239	FBgn0029911
LDECv5g03240	FBgn0036319
LDECv5g03246	FBgn0036502
LDECv5g03250	FBgn0039111
LDECv5g03265	FBgn0033029
LDECv5g03269	FBgn0037848
LDECv5g03274	FBgn0033289
LDECv5g03287	FBgn0000629
LDECv5g03362	FBgn0023171
LDECv5g03371	FBgn0024365
LDECv5g03378	FBgn0085396
LDECv5g03390	FBgn0014869
LDECv5g03392	FBgn0250786
LDECv5g03426	FBgn0003210
LDECv5g03431	FBgn0034308
LDECv5g03462	FBgn0011581
LDECv5g03492	FBgn0004888
LDECv5g03520	FBgn0014135
LDECv5g03533	FBgn0013983
LDECv5g03553	FBgn0024238
LDECv5g03560	FBgn0035388
LDECv5g03565	FBgn0046687
LDECv5g03571	FBgn0004957
LDECv5g03586	FBgn0005564
LDECv5g03587	FBgn0034590
LDECv5g03599	FBgn0031985
LDECv5g03612	FBgn0000455
LDECv5g03647	FBgn0040318
LDECv5g03714	FBgn0032717
LDECv5g03748	FBgn0028540
LDECv5g03751	FBgn0040285
LDECv5g03783	FBgn0029152
LDECv5g03788	FBgn0029996
LDECv5g03801	FBgn0026056
LDECv5g03804	FBgn0005616
LDECv5g03808	FBgn0267378
LDECv5g03834	FBgn0034135
LDECv5g03850	FBgn0028516
LDECv5g03859	FBgn0260467
LDECv5g03871	FBgn0031461
LDECv5g03941	FBgn0039932
LDECv5g03942	FBgn0034691
LDECv5g03977	FBgn0066365
LDECv5g04012	FBgn0027101
LDECv5g04014	FBgn0032399
LDECv5g04019	FBgn0040208
LDECv5g04024	FBgn0265974
LDECv5g04030	FBgn0014879
LDECv5g04050	FBgn0037327
LDECv5g04116	FBgn0031053
LDECv5g04164	FBgn0034705
LDECv5g04176	FBgn0003002
LDECv5g04216	FBgn0039131
LDECv5g04242	FBgn0034025
LDECv5g04246	FBgn0011740
LDECv5g04254	FBgn0034497
LDECv5g04265	FBgn0024985
LDECv5g04281	FBgn0001087
LDECv5g04283	FBgn0031972
LDECv5g04289	FBgn0034269
LDECv5g04316	FBgn0010341
LDECv5g04323	FBgn0083978
LDECv5g04329	FBgn0260960
LDECv5g04354	FBgn0035285
LDECv5g04366	FBgn0026777
LDECv5g04373	FBgn0039924
LDECv5g04404	FBgn0033155
LDECv5g04412	FBgn0025393
LDECv5g04433	FBgn0000499
LDECv5g04448	FBgn0036235
LDECv5g04457	FBgn0265630
LDECv5g04462	FBgn0040375
LDECv5g04490	FBgn0026144
LDECv5g04570	FBgn0266518
LDECv5g04575	FBgn0030460
LDECv5g04586	FBgn0037323
LDECv5g04618	FBgn0026199
LDECv5g04620	FBgn0037723
LDECv5g04638	FBgn0036911
LDECv5g04661	FBgn0038763
LDECv5g04693	FBgn0037680
LDECv5g04695	FBgn0039911
LDECv5g04701	FBgn0004855
LDECv5g04711	FBgn0026630
LDECv5g04724	FBgn0039965
LDECv5g04729	FBgn0034258
LDECv5g04741	FBgn0033357
LDECv5g04760	FBgn0028541
LDECv5g04778	FBgn0036665
LDECv5g04790	FBgn0030974
LDECv5g04799	FBgn0036684
LDECv5g04839	FBgn0026479
LDECv5g04854	FBgn0028692
LDECv5g04866	FBgn0003900
LDECv5g04883	FBgn0086683
LDECv5g04885	FBgn0031772
LDECv5g04890	FBgn0002021
LDECv5g04894	FBgn0024234
LDECv5g04909	FBgn0035231
LDECv5g04912	FBgn0028984
LDECv5g04933	FBgn0039078
LDECv5g04941	FBgn0263973
LDECv5g04945	FBgn0027084
LDECv5g04955	FBgn0015791
LDECv5g04958	FBgn0287234
LDECv5g04960	FBgn0031603
LDECv5g04968	FBgn0035280
LDECv5g05005	FBgn0029783
LDECv5g05014	FBgn0037556
LDECv5g05015	FBgn0290419
LDECv5g05036	FBgn0027375
LDECv5g05046	FBgn0031436
LDECv5g05050	FBgn0046225
LDECv5g05056	FBgn0265935
LDECv5g05073	FBgn0039120
LDECv5g05115	FBgn0038515
LDECv5g05121	FBgn0033998
LDECv5g05166	FBgn0035229
LDECv5g05175	FBgn0085201
LDECv5g05176	FBgn0019957
LDECv5g05189	FBgn0266449
LDECv5g05201	FBgn0051663
LDECv5g05206	FBgn0285948
LDECv5g05212	FBgn0033753
LDECv5g05215	FBgn0263079
LDECv5g05217	FBgn0004108
LDECv5g05224	FBgn0023512
LDECv5g05294	FBgn0010315
LDECv5g05298	FBgn0037100
LDECv5g05318	FBgn0265512
LDECv5g05333	FBgn0034500
LDECv5g05352	FBgn0031250
LDECv5g05354	FBgn0029137
LDECv5g05362	FBgn0086447
LDECv5g05370	FBgn0259824
LDECv5g05378	FBgn0027503
LDECv5g05383	FBgn0000352
LDECv5g05386	FBgn0086698
LDECv5g05401	FBgn0259722
LDECv5g05462	FBgn0284247
LDECv5g05477	FBgn0262127
LDECv5g05490	FBgn0030850
LDECv5g05561	FBgn0261090
LDECv5g05574	FBgn0028686
LDECv5g05605	FBgn0029174
LDECv5g05620	FBgn0031043
LDECv5g05623	FBgn0031049
LDECv5g05629	FBgn0035872
LDECv5g05632	FBgn0026076
LDECv5g05637	FBgn0039075
LDECv5g05649	FBgn0035375
LDECv5g05650	FBgn0032167
LDECv5g05689	FBgn0035889
LDECv5g05702	FBgn0031885
LDECv5g05704	FBgn0016762
LDECv5g05736	FBgn0039862
LDECv5g05778	FBgn0030435
LDECv5g05783	FBgn0014417
LDECv5g05791	FBgn0021776
LDECv5g05859	FBgn0031099
LDECv5g05860	FBgn0036450
LDECv5g05862	FBgn0034988
LDECv5g05870	FBgn0030873
LDECv5g05871	FBgn0086679
LDECv5g05879	FBgn0250869
LDECv5g05916	FBgn0030703
LDECv5g05917	FBgn0030336
LDECv5g05928	FBgn0010488
LDECv5g05946	FBgn0036449
LDECv5g05954	FBgn0029915
LDECv5g05955	FBgn0051643
LDECv5g05994	FBgn0052532
LDECv5g06016	FBgn0029837
LDECv5g06018	FBgn0036239
LDECv5g06026	FBgn0032450
LDECv5g06040	FBgn0027330
LDECv5g06058	FBgn0036959
LDECv5g06093	FBgn0004419
LDECv5g06098	FBgn0030457
LDECv5g06107	FBgn0019662
LDECv5g06109	FBgn0266719
LDECv5g06119	FBgn0035039
LDECv5g06125	FBgn0035767
LDECv5g06144	FBgn0036494
LDECv5g06158	FBgn0027784
LDECv5g06164	FBgn0004921
LDECv5g06237	FBgn0263051
LDECv5g06243	FBgn0033486
LDECv5g06264	FBgn0003545
LDECv5g06272	FBgn0000057
LDECv5g06278	FBgn0051211
LDECv5g06280	FBgn0040532
LDECv5g06287	FBgn0025366
LDECv5g06289	FBgn0025674
LDECv5g06303	FBgn0260390
LDECv5g06325	FBgn0004868
LDECv5g06379	FBgn0038286
LDECv5g06437	FBgn0038827
LDECv5g06456	FBgn0051119
LDECv5g06458	FBgn0032076
LDECv5g06460	FBgn0086355
LDECv5g06465	FBgn0001404
LDECv5g06486	FBgn0030930
LDECv5g06499	FBgn0038651
LDECv5g06501	FBgn0037026
LDECv5g06505	FBgn0260755
LDECv5g06533	FBgn0026262
LDECv5g06544	FBgn0032729
LDECv5g06547	FBgn0050181
LDECv5g06574	FBgn0027356
LDECv5g06600	FBgn0030286
LDECv5g06616	FBgn0030406
LDECv5g06621	FBgn0027602
LDECv5g06644	FBgn0033010
LDECv5g06651	FBgn0037613
LDECv5g06667	FBgn0001134
LDECv5g06705	FBgn0053772
LDECv5g06729	FBgn0032397
LDECv5g06731	FBgn0010612
LDECv5g06757	FBgn0250788
LDECv5g06762	FBgn0034491
LDECv5g06779	FBgn0003011
LDECv5g06808	FBgn0031530
LDECv5g06832	FBgn0030964
LDECv5g06836	FBgn0040513
LDECv5g06859	FBgn0028497
LDECv5g06868	FBgn0040373
LDECv5g06942	FBgn0283471
LDECv5g06964	FBgn0039396
LDECv5g06985	FBgn0029878
LDECv5g06997	FBgn0027080
LDECv5g07008	FBgn0263355
LDECv5g07013	FBgn0035247
LDECv5g07015	FBgn0024232
LDECv5g07029	FBgn0029834
LDECv5g07122	FBgn0019932
LDECv5g07146	FBgn0033846
LDECv5g07194	FBgn0030870
LDECv5g07196	FBgn0036463
LDECv5g07222	FBgn0005777
LDECv5g07232	FBgn0023169
LDECv5g07243	FBgn0035766
LDECv5g07245	FBgn0033187
LDECv5g07293	FBgn0034792
LDECv5g07294	FBgn0033615
LDECv5g07302	FBgn0017550
LDECv5g07304	FBgn0024432
LDECv5g07308	FBgn0025574
LDECv5g07421	FBgn0265052
LDECv5g07427	FBgn0033380
LDECv5g07451	FBgn0034118
LDECv5g07471	FBgn0035113
LDECv5g07482	FBgn0039265
LDECv5g07496	FBgn0264959
LDECv5g07499	FBgn0038058
LDECv5g07515	FBgn0019990
LDECv5g07522	FBgn0039743
LDECv5g07555	FBgn0004649
LDECv5g07558	FBgn0005613
LDECv5g07564	FBgn0259749
LDECv5g07573	FBgn0031500
LDECv5g07585	FBgn0038608
LDECv5g07593	FBgn0003093
LDECv5g07597	FBgn0267351
LDECv5g07618	FBgn0003074
LDECv5g07632	FBgn0003317
LDECv5g07656	FBgn0039466
LDECv5g07674	FBgn0020908
LDECv5g07677	FBgn0029840
LDECv5g07686	FBgn0260970
LDECv5g07688	FBgn0027280
LDECv5g07713	FBgn0040011
LDECv5g07720	FBgn0039406
LDECv5g07723	FBgn0020618
LDECv5g07728	FBgn0004177
LDECv5g07749	FBgn0022787
LDECv5g07771	FBgn0031782
LDECv5g07785	FBgn0260798
LDECv5g07794	FBgn0005198
LDECv5g07829	FBgn0030091
LDECv5g07844	FBgn0038769
LDECv5g07848	FBgn0033453
LDECv5g07872	FBgn0044328
LDECv5g07874	FBgn0259167
LDECv5g07894	FBgn0040308
LDECv5g07912	FBgn0028476
LDECv5g07945	FBgn0030323
LDECv5g07952	FBgn0038934
LDECv5g07970	FBgn0037341
LDECv5g07971	FBgn0038858
LDECv5g07972	FBgn0283468
LDECv5g07981	FBgn0284252
LDECv5g07995	FBgn0039688
LDECv5g08035	FBgn0030997
LDECv5g08039	FBgn0004644
LDECv5g08044	FBgn0032518
LDECv5g08046	FBgn0031589
LDECv5g08047	FBgn0010750
LDECv5g08058	FBgn0038247
LDECv5g08067	FBgn0039054
LDECv5g08069	FBgn0012037
LDECv5g08085	FBgn0037648
LDECv5g08098	FBgn0029868
LDECv5g08099	FBgn0019890
LDECv5g08110	FBgn0032820
LDECv5g08132	FBgn0028932
LDECv5g08139	FBgn0263997
LDECv5g08148	FBgn0032986
LDECv5g08161	FBgn0039272
LDECv5g08164	FBgn0259678
LDECv5g08172	FBgn0037716
LDECv5g08221	FBgn0038829
LDECv5g08238	FBgn0022770
LDECv5g08262	FBgn0260398
LDECv5g08323	FBgn0035574
LDECv5g08328	FBgn0267398
LDECv5g08345	FBgn0033665
LDECv5g08400	FBgn0033174
LDECv5g08406	FBgn0265182
LDECv5g08420	FBgn0036621
LDECv5g08432	FBgn0026250
LDECv5g08442	FBgn0028658
LDECv5g08458	FBgn0261788
LDECv5g08470	FBgn0031450
LDECv5g08477	FBgn0025394
LDECv5g08503	FBgn0039665
LDECv5g08512	FBgn0029663
LDECv5g08537	FBgn0030257
LDECv5g08559	FBgn0038337
LDECv5g08562	FBgn0031037
LDECv5g08563	FBgn0028546
LDECv5g08567	FBgn0004511
LDECv5g08581	FBgn0027291
LDECv5g08582	FBgn0029955
LDECv5g08599	FBgn0036271
LDECv5g08611	FBgn0041582
LDECv5g08621	FBgn0037555
LDECv5g08635	FBgn0033117
LDECv5g08642	FBgn0035088
LDECv5g08662	FBgn0034936
LDECv5g08690	FBgn0024360
LDECv5g08747	FBgn0286782
LDECv5g08773	FBgn0016726
LDECv5g08780	FBgn0039290
LDECv5g08788	FBgn0034708
LDECv5g08823	FBgn0037926
LDECv5g08834	FBgn0034540
LDECv5g08842	FBgn0034067
LDECv5g08896	FBgn0000109
LDECv5g08948	FBgn0037739
LDECv5g08961	FBgn0261086
LDECv5g08968	FBgn0037747
LDECv5g08979	FBgn0039710
LDECv5g08997	FBgn0037832
LDECv5g09015	FBgn0029689
LDECv5g09024	FBgn0026417
LDECv5g09029	FBgn0283442
LDECv5g09055	FBgn0031607
LDECv5g09064	FBgn0034071
LDECv5g09065	FBgn0032171
LDECv5g09071	FBgn0032252
LDECv5g09075	FBgn0025820
LDECv5g09090	FBgn0038630
LDECv5g09124	FBgn0037652
LDECv5g09127	FBgn0039213
LDECv5g09132	FBgn0261787
LDECv5g09138	FBgn0038327
LDECv5g09158	FBgn0004197
LDECv5g09181	FBgn0260468
LDECv5g09193	FBgn0033471
LDECv5g09203	FBgn0085453
LDECv5g09226	FBgn0004360
LDECv5g09229	FBgn0016697
LDECv5g09234	FBgn0003130
LDECv5g09244	FBgn0030196
LDECv5g09279	FBgn0032922
LDECv5g09291	FBgn0031836
LDECv5g09294	FBgn0032698
LDECv5g09320	FBgn0032798
LDECv5g09326	FBgn0267486
LDECv5g09372	FBgn0037603
LDECv5g09377	FBgn0033244
LDECv5g09379	FBgn0032688
LDECv5g09399	FBgn0031459
LDECv5g09405	FBgn0004687
LDECv5g09452	FBgn0004387
LDECv5g09465	FBgn0261397
LDECv5g09475	FBgn0051108
LDECv5g09509	FBgn0035696
LDECv5g09512	FBgn0261801
LDECv5g09513	FBgn0016756
LDECv5g09537	FBgn0036667
LDECv5g09551	FBgn0052373
LDECv5g09559	FBgn0027079
LDECv5g09573	FBgn0029685
LDECv5g09615	FBgn0284220
LDECv5g09625	FBgn0037490
LDECv5g09651	FBgn0035755
LDECv5g09720	FBgn0034674
LDECv5g09721	FBgn0036451
LDECv5g09722	FBgn0036922
LDECv5g09750	FBgn0040505
LDECv5g09816	FBgn0035166
LDECv5g09817	FBgn0031631
LDECv5g09819	FBgn0037081
LDECv5g09827	FBgn0033177
LDECv5g09836	FBgn0086706
LDECv5g09839	FBgn0031238
LDECv5g09879	FBgn0036661
LDECv5g09897	FBgn0039625
LDECv5g09898	FBgn0262126
LDECv5g09922	FBgn0016041
LDECv5g09944	FBgn0031485
LDECv5g09962	FBgn0041171
LDECv5g09963	FBgn0039183
LDECv5g09967	FBgn0004859
LDECv5g09976	FBgn0030521
LDECv5g09993	FBgn0013467
LDECv5g10020	FBgn0022338
LDECv5g10030	FBgn0035677
LDECv5g10034	FBgn0002774
LDECv5g10078	FBgn0028662
LDECv5g10112	FBgn0033544
LDECv5g10113	FBgn0030465
LDECv5g10137	FBgn0035704
LDECv5g10143	FBgn0035308
LDECv5g10171	FBgn0050263
LDECv5g10173	FBgn0002069
LDECv5g10206	FBgn0017429
LDECv5g10212	FBgn0035914
LDECv5g10254	FBgn0024698
LDECv5g10274	FBgn0037084
LDECv5g10279	FBgn0040370
LDECv5g10300	FBgn0038165
LDECv5g10325	FBgn0034968
LDECv5g10344	FBgn0035498
LDECv5g10377	FBgn0022702
LDECv5g10413	FBgn0000157
LDECv5g10439	FBgn0038332
LDECv5g10464	FBgn0044823
LDECv5g10490	FBgn0037584
LDECv5g10504	FBgn0037697
LDECv5g10521	FBgn0035147
LDECv5g10523	FBgn0020235
LDECv5g10548	FBgn0260499
LDECv5g10551	FBgn0288631
LDECv5g10561	FBgn0015477
LDECv5g10573	FBgn0000257
LDECv5g10582	FBgn0085451
LDECv5g10605	FBgn0030990
LDECv5g10635	FBgn0030001
LDECv5g10684	FBgn0027610
LDECv5g10686	FBgn0086710
LDECv5g10755	FBgn0050421
LDECv5g10770	FBgn0263705
LDECv5g10782	FBgn0031059
LDECv5g10785	FBgn0037624
LDECv5g10794	FBgn0027512
LDECv5g10810	FBgn0051908
LDECv5g10822	FBgn0030452
LDECv5g10826	FBgn0033713
LDECv5g10872	FBgn0260747
LDECv5g10873	FBgn0286809
LDECv5g10880	FBgn0036574
LDECv5g10881	FBgn0035333
LDECv5g10911	FBgn0027538
LDECv5g10920	FBgn0030013
LDECv5g10993	FBgn0030668
LDECv5g11002	FBgn0036545
LDECv5g11008	FBgn0040007
LDECv5g11020	FBgn0033784
LDECv5g11025	FBgn0038638
LDECv5g11027	FBgn0032395
LDECv5g11055	FBgn0033438
LDECv5g11064	FBgn0050089
LDECv5g11082	FBgn0046258
LDECv5g11084	FBgn0031005
LDECv5g11090	FBgn0000524
LDECv5g11091	FBgn0040777
LDECv5g11092	FBgn0037978
LDECv5g11096	FBgn0037109
LDECv5g11101	FBgn0036337
LDECv5g11106	FBgn0001148
LDECv5g11118	FBgn0029006
LDECv5g11120	FBgn0031174
LDECv5g11128	FBgn0036520
LDECv5g11158	FBgn0286198
LDECv5g11164	FBgn0261279
LDECv5g11166	FBgn0039003
LDECv5g11201	FBgn0033236
LDECv5g11203	FBgn0039559
LDECv5g11204	FBgn0037734
LDECv5g11223	FBgn0029936
LDECv5g11255	FBgn0000395
LDECv5g11274	FBgn0032376
LDECv5g11292	FBgn0038321
LDECv5g11307	FBgn0037551
LDECv5g11312	FBgn0037554
LDECv5g11314	FBgn0030605
LDECv5g11315	FBgn0024314
LDECv5g11345	FBgn0259099
LDECv5g11358	FBgn0052666
LDECv5g11384	FBgn0030752
LDECv5g11385	FBgn0031473
LDECv5g11414	FBgn0027083
LDECv5g11422	FBgn0036397
LDECv5g11426	FBgn0030499
LDECv5g11437	FBgn0027497
LDECv5g11448	FBgn0003189
LDECv5g11548	FBgn0024733
LDECv5g11553	FBgn0027836
LDECv5g11583	FBgn0052174
LDECv5g11587	FBgn0033317
LDECv5g11597	FBgn0029148
LDECv5g11600	FBgn0031496
LDECv5g11605	FBgn0023516
LDECv5g11606	FBgn0039110
LDECv5g11609	FBgn0034484
LDECv5g11610	FBgn0038168
LDECv5g11632	FBgn0286051
LDECv5g11683	FBgn0037395
LDECv5g11695	FBgn0263605
LDECv5g11700	FBgn0036695
LDECv5g11702	FBgn0264560
LDECv5g11705	FBgn0036612
LDECv5g11754	FBgn0033916
LDECv5g11799	FBgn0024510
LDECv5g11812	FBgn0040351
LDECv5g11828	FBgn0028480
LDECv5g11860	FBgn0038072
LDECv5g12226	FBgn0261602
LDECv5g12256	FBgn0034094
LDECv5g12346	FBgn0085430
LDECv5g12361	FBgn0287695
LDECv5g12371	FBgn0035985
LDECv5g12376	FBgn0032689
LDECv5g12377	FBgn0011272
LDECv5g12417	FBgn0031903
LDECv5g12419	FBgn0031902
LDECv5g12425	FBgn0038894
LDECv5g12426	FBgn0034692
LDECv5g12441	FBgn0027950
LDECv5g12453	FBgn0004574
LDECv5g12464	FBgn0029888
LDECv5g12497	FBgn0003480
LDECv5g12514	FBgn0001124
LDECv5g12526	FBgn0051759
LDECv5g12527	FBgn0086442
LDECv5g12560	FBgn0263602
LDECv5g12576	FBgn0011217
LDECv5g12578	FBgn0030306
LDECv5g12580	FBgn0037251
LDECv5g12635	FBgn0030660
LDECv5g12637	FBgn0034963
LDECv5g12698	FBgn0038268
LDECv5g12699	FBgn0031684
LDECv5g12704	FBgn0013720
LDECv5g12726	FBgn0028573
LDECv5g12728	FBgn0086704
LDECv5g12822	FBgn0034372
LDECv5g12824	FBgn0020257
LDECv5g12835	FBgn0003479
LDECv5g12836	FBgn0030731
LDECv5g12842	FBgn0034390
LDECv5g12871	FBgn0033247
LDECv5g12887	FBgn0000559
LDECv5g12897	FBgn0032305
LDECv5g12899	FBgn0035444
LDECv5g12900	FBgn0000153
LDECv5g12924	FBgn0259166
LDECv5g12944	FBgn0039252
LDECv5g12956	FBgn0263072
LDECv5g12975	FBgn0061200
LDECv5g12988	FBgn0041164
LDECv5g12992	FBgn0035532
LDECv5g13021	FBgn0038460
LDECv5g13025	FBgn0037835
LDECv5g13026	FBgn0038951
LDECv5g13038	FBgn0031115
LDECv5g13039	FBgn0034248
LDECv5g13071	FBgn0027498
LDECv5g13093	FBgn0267849
LDECv5g13095	FBgn0027549
LDECv5g13098	FBgn0037483
LDECv5g13099	FBgn0032882
LDECv5g13115	FBgn0035769
LDECv5g13225	FBgn0035601
LDECv5g13245	FBgn0040507
LDECv5g13258	FBgn0050404
LDECv5g13302	FBgn0031054
LDECv5g13328	FBgn0031741
LDECv5g13337	FBgn0027094
LDECv5g13353	FBgn0046222
LDECv5g13360	FBgn0288856
LDECv5g13373	FBgn0032402
LDECv5g13375	FBgn0029969
LDECv5g13377	FBgn0015247
LDECv5g13392	FBgn0032054
LDECv5g13397	FBgn0051224
LDECv5g13417	FBgn0261268
LDECv5g13420	FBgn0031696
LDECv5g13426	FBgn0289650
LDECv5g13435	FBgn0030672
LDECv5g13436	FBgn0031188
LDECv5g13440	FBgn0002778
LDECv5g13454	FBgn0031883
LDECv5g13477	FBgn0287597
LDECv5g13484	FBgn0023515
LDECv5g13493	FBgn0032083
LDECv5g13513	FBgn0031893
LDECv5g13531	FBgn0053172
LDECv5g13532	FBgn0015283
LDECv5g13541	FBgn0011284
LDECv5g13547	FBgn0261983
LDECv5g13554	FBgn0031995
LDECv5g13561	FBgn0051632
LDECv5g13602	FBgn0000422
LDECv5g13615	FBgn0032748
LDECv5g13617	FBgn0038056
LDECv5g13623	FBgn0004811
LDECv5g13659	FBgn0022959
LDECv5g13674	FBgn0037339
LDECv5g13726	FBgn0002787
LDECv5g13729	FBgn0035270
LDECv5g13743	FBgn0032700
LDECv5g13780	FBgn0035964
LDECv5g13793	FBgn0037409
LDECv5g13794	FBgn0037410
LDECv5g13808	FBgn0286976
LDECv5g13866	FBgn0051869
LDECv5g13871	FBgn0036263
LDECv5g13872	FBgn0035260
LDECv5g13982	FBgn0000560
LDECv5g14011	FBgn0035812
LDECv5g14026	FBgn0031235
LDECv5g14062	FBgn0037664
LDECv5g14086	FBgn0266195
LDECv5g14099	FBgn0265174
LDECv5g14102	FBgn0035733
LDECv5g14103	FBgn0035756
LDECv5g14119	FBgn0038542
LDECv5g14144	FBgn0035636
LDECv5g14169	FBgn0035753
LDECv5g14170	FBgn0035853
LDECv5g14190	FBgn0051431
LDECv5g14196	FBgn0264005
LDECv5g14197	FBgn0002941
LDECv5g14203	FBgn0005671
LDECv5g14209	FBgn0285958
LDECv5g14228	FBgn0001108
LDECv5g14267	FBgn0039966
LDECv5g14275	FBgn0033915
LDECv5g14276	FBgn0283649
LDECv5g14281	FBgn0036926
LDECv5g14305	FBgn0034750
LDECv5g14686	FBgn0011763
LDECv5g14688	FBgn0015776
LDECv5g14694	FBgn0040754
LDECv5g14702	FBgn0085440
LDECv5g14738	FBgn0033421
LDECv5g14789	FBgn0035593
LDECv5g14799	FBgn0027507
LDECv5g14882	FBgn0052230
LDECv5g14883	FBgn0016120
LDECv5g14984	FBgn0002719
LDECv5g14986	FBgn0029155
LDECv5g15000	FBgn0034166
LDECv5g15015	FBgn0039132
LDECv5g15043	FBgn0036939
LDECv5g15045	FBgn0038961
LDECv5g15047	FBgn0032005
LDECv5g15048	FBgn0039836
LDECv5g15061	FBgn0039226
LDECv5g15068	FBgn0086254
LDECv5g15101	FBgn0005355
LDECv5g15108	FBgn0029093
LDECv5g15146	FBgn0004885
LDECv5g15166	FBgn0039136
LDECv5g15178	FBgn0039430
LDECv5g15179	FBgn0036915
LDECv5g15198	FBgn0032699
LDECv5g15208	FBgn0039849
LDECv5g15219	FBgn0020907
LDECv5g15238	FBgn0031233
LDECv5g15245	FBgn0038578
LDECv5g15247	FBgn0038570
LDECv5g15276	FBgn0003169
LDECv5g15277	FBgn0038246
LDECv5g15300	FBgn0030613
LDECv5g15302	FBgn0038593
LDECv5g15325	FBgn0003366
LDECv5g15329	FBgn0262866
LDECv5g15400	FBgn0032017
LDECv5g15418	FBgn0011604
LDECv5g15421	FBgn0052204
LDECv5g15425	FBgn0043456
LDECv5g15426	FBgn0032479
LDECv5g15429	FBgn0038683
LDECv5g15439	FBgn0261446
LDECv5g15445	FBgn0004867
LDECv5g15448	FBgn0285949
LDECv5g15458	FBgn0037001
LDECv5g15568	FBgn0030037
LDECv5g00010	FBgn0058470
LDECv5g00015	FBgn0003676
LDECv5g00019	FBgn0051005
LDECv5g00047	FBgn0027296
LDECv5g00054	FBgn0040907
LDECv5g00061	FBgn0039709
LDECv5g00066	FBgn0037989
LDECv5g00067	FBgn0039212
LDECv5g00068	FBgn0001098
LDECv5g00086	FBgn0040234
LDECv5g00095	FBgn0015790
LDECv5g00098	FBgn0032391
LDECv5g00101	FBgn0038662
LDECv5g00107	FBgn0036038
LDECv5g00130	FBgn0030468
LDECv5g00134	FBgn0030101
LDECv5g00139	FBgn0032321
LDECv5g00148	FBgn0032643
LDECv5g00173	FBgn0027378
LDECv5g00174	FBgn0033019
LDECv5g00212	FBgn0051323
LDECv5g00241	FBgn0030408
LDECv5g00242	FBgn0033773
